小区名,地址,新房类型,建筑面积,每平方价格
淯龙府,卧龙区,住宅,建筑面积：109.38-142.87㎡,10900
弘都·金帝国际,唐河,住宅,建筑面积：96.36-206.89㎡,6700
镇平宇信凯旋城,镇平,住宅,建筑面积：112.86-134.44㎡,3990
建业天玺,宛城区,住宅,建筑面积：89-139㎡,11000
华清源·美林合府,唐河,住宅,建筑面积：120.11-193.23㎡,7000
华龙园,方城,住宅,建筑面积：126-143㎡,4800
绿都金科观天下,宛城区,住宅,建筑面积：118.7-136.24㎡,10500
华清源美林名著,宛城区,住宅,建筑面积：85-129㎡,12000
邓州雍豪府,邓州,住宅,建筑面积：120.54-155.49㎡,6500
军隆广场,新野,住宅,建筑面积：108.48-129.94㎡,4200
淅川碧桂园·翡翠郡,淅川,住宅,建筑面积：125-220㎡,4600
金科中梁博翠东方,宛城区,住宅,建筑面积：103-140㎡,10900
蓝光·芙蓉里,卧龙区,住宅,建筑面积：89-138㎡,9800
方城宇信凯旋城,方城,住宅,建筑面积：107.77-161.73㎡,5099
南召壹号院,南召,住宅,建筑面积：119.02-167㎡,4000
海德堡,邓州,住宅,建筑面积：92.26-159.2㎡,3900
云程林·康宁府,宛城区,住宅,建筑面积：106.42-242.11㎡,6000
邓州建业森林半岛,邓州,住宅,建筑面积：87.18-176㎡,6500
镇平瑞贝卡·和天下,镇平,住宅,建筑面积：106-139㎡,4500
南阳财富世家,宛城区,住宅,建筑面积：120.79-143㎡,9600
合生广场,卧龙区,商住,建筑面积：71.7-91.26㎡,11900
新旭·京华府【南苑】,邓州,住宅,建筑面积：105-168.94㎡,6000
桐柏建业公园里,桐柏,住宅,建筑面积：125-165㎡,4300
社旗建业春天里,社旗,住宅,建筑面积：115-144㎡,4500
伏牛山财富庄园,西峡,住宅,建筑面积：46-95㎡,9000
郦都国际,内乡,住宅,建筑面积：122-146㎡,3600
星旺·水韵绿庭,宛城区,住宅,建筑面积：104-135㎡,8200
龙记观园,邓州,住宅,建筑面积：98-125㎡,6000
龙都·臻阅,卧龙区,住宅,建筑面积：92-119㎡,8770
翡翠城,邓州,住宅,建筑面积：122-144㎡,4398
邓州蓝城·蘭园,邓州,住宅,建筑面积：90-160㎡,6000
幸福家园,卧龙区,住宅,建筑面积：127.49-137.78㎡,8300
七里河畔,内乡,住宅,建筑面积：125-144㎡,3950
建业贰号城邦,宛城区,住宅,建筑面积：90.67-183.19㎡,10799
方城潘河家园,方城,住宅,建筑面积：114.42-134.33㎡,4850
金科·桃李郡,宛城区,住宅,建筑面积：96-120㎡,10000
名门·龍湖·海花岛,卧龙区,住宅,建筑面积：52.46-91.51㎡,6500
东青紫郡,宛城区,住宅,建筑面积：57-125㎡,12000
宏林桂花苑,镇平,住宅,建筑面积：115-142㎡,4200
蓝光未来辰悦,宛城区,住宅,建筑面积：96-138㎡,8700
金川美景春天,邓州,住宅,建筑面积：52.3-120.08㎡,5500
南阳建业·云境,宛城区,住宅,建筑面积：95-168㎡,13000
淅川滨河府,淅川,住宅,建筑面积：115.19-163.79㎡,3888
方城康桥一品,方城,住宅,建筑面积：111-147.95㎡,4800
碧桂园·新都荟,卧龙区,住宅,建筑面积：112-135㎡,11000
三川·金融街,宛城区,商住,建筑面积：1512.76-2331.76㎡,9000
天工新著,宛城区,住宅,建筑面积：98.57-242.93㎡,11000
常绿·金御一品,镇平,住宅,建筑面积：85.28-120.21㎡,4100
永威广宇·南都新城,卧龙区,住宅,建筑面积：105-139㎡,12800
鸿欣·青枫苑,南召,住宅,建筑面积：126.46-141.56㎡,3900
兰亭苑,宛城区,住宅,建筑面积：95-201㎡,7000
金科集美天宸,卧龙区,住宅,建筑面积：98-118㎡,8500
南阳正商书香华府,宛城区,住宅,建筑面积：97.24-141.32㎡,10500
绿都·云上风华,宛城区,住宅,建筑面积：96-125㎡,9300
紫金苑,社旗,住宅,建筑面积：120.62-172.64㎡,4200
金苑如意广场,宛城区,住宅,建筑面积：91.92-151.3㎡,9500
南召·国宾府,南召,住宅,建筑面积：119-136㎡,3500
内乡北斗星城,内乡,住宅,建筑面积：109-131.69㎡,3500
菊潭·毓秀园,内乡,住宅,建筑面积：117.04-164.65㎡,3800
正弘熙悦,宛城区,住宅,建筑面积：98-128㎡,9500
邓州正商凯悦华府,邓州,住宅,建筑面积：112.59-141.05㎡,6000
金河湾,方城,住宅,建筑面积：104.14-177.61㎡,5060
国海•翰林学府,方城,住宅,建筑面积：125-129㎡,4800
山水绿城,南召,住宅,建筑面积：134.34-201.84㎡,3500
佳润·城市之光,宛城区,住宅,建筑面积：65.2-121.77㎡,9800
上海花园,社旗,住宅,建筑面积：116.97-135.42㎡,4500
中奥·唐河府,唐河,住宅,建筑面积：115-138㎡,6500
邓州蓝城 滨湖壹号,邓州,住宅,建筑面积：108.36-127.92㎡,6200
春天花园二期,新野,住宅,建筑面积：120-144㎡,4199
新野建业城,新野,住宅,建筑面积：118-144㎡,5200
国宾中心-尚东居,官庄工区,住宅,建筑面积：101.14-128.08㎡,3850
鸿扬公园里,社旗,住宅,建筑面积：119-150㎡,4200
嘉安·山河筑,南召,住宅,建筑面积：67.37-141.95㎡,3600
盛隆·涅阳府,镇平,住宅,建筑面积：117-165㎡,4800
森雷·京豫华庭,唐河,住宅,建筑面积：102.37-134.67㎡,5200
佳源御府,镇平,住宅,建筑面积：122.12-129.47㎡,4700
未来里,宛城区,住宅,建筑面积：97.12-141.34㎡,8500
大正·迎宾府,镇平,住宅,建筑面积：131.26-143.1㎡,4400
玖福泓城,高新区,住宅,建筑面积：123.85-164.52㎡,10500
丹江国际广场,淅川,住宅,建筑面积：79.7-167.26㎡,3888
社旗滨港·水岸星城,社旗,住宅,建筑面积：116.2-175.4㎡,4500
百坊·嘉和府,方城,住宅,建筑面积：113.24-147.71㎡,4992
方城银都公馆,方城,住宅,建筑面积：116.9-128㎡,4900
颐龙泽,社旗,住宅,建筑面积：125.63-145.57㎡,4400
同华国际广场,邓州,住宅,建筑面积：111.73-125.34㎡,5500
学府公馆,内乡,住宅,建筑面积：127.51-139.17㎡,3700
书香茗苑,社旗,住宅,建筑面积：130-130㎡,4500
方城宇信凯旋公馆,方城,住宅,建筑面积：107.01-161.73㎡,5300
金城国际,邓州,住宅,建筑面积：107.83-127.86㎡,5660
财富壹号院,西峡,住宅,建筑面积：136.97-241.5㎡,5242
嘉合.SOHO尚都,卧龙区,住宅,建筑面积：47-56㎡,6900
金域中央城,新野,住宅,建筑面积：102.56-126.81㎡,4799
金尊府,邓州,住宅,建筑面积：100.9-139.33㎡,5660
梧桐公馆III期,方城,住宅,建筑面积：112.01-135.43㎡,4800
七零公馆,宛城区,住宅,建筑面积：40.75-264.96㎡,10000
和顺劝学里,宛城区,住宅,建筑面积：103.28-168.09㎡,10000
蓬生·信达广场,方城,商住,建筑面积：56-123㎡,6000
世界里,宛城区,住宅,建筑面积：92-126.3㎡,10000
锦盛红豆杉庄园,西峡,住宅,建筑面积：79.29-130.55㎡,7800
龙都臻宝,卧龙区,住宅,建筑面积：47-124㎡,10500
状元府,内乡,住宅,建筑面积：110-140㎡,4000
壹品书院,邓州,住宅,建筑面积：105.17-131.12㎡,5583
龙升建材城,卧龙区,商住,建筑面积：52.02-74.08㎡,6586
镇平壹号院,镇平,住宅,建筑面积：104-144.5㎡,4452
南阳市卧龙城,卧龙区,商住,建筑面积：74-88㎡,9078
大民上林苑,宛城区,商住,建筑面积：96.82-197.79㎡,9100
镇平县君悦华府,镇平,住宅,建筑面积：116.48-141.06㎡,4452
万马·滨海湾壹号,南阳周边,住宅,建筑面积：40.8-80.25㎡,8562
一品•秀丽山河,新野,住宅,建筑面积：121-143㎡,5575
蓝城玉园,卧龙区,住宅,建筑面积：50-138㎡,8963
佰庄·吴府佳苑,方城,住宅,建筑面积：117.71-124.63㎡,4979
西峡·盛达首府,西峡,住宅,建筑面积：122.96-162.07㎡,5000
海兴上苑,方城,住宅,建筑面积：128-142㎡,4979
同信府,方城,住宅,建筑面积：115-135㎡,5400
鸿扬·翰林世家,唐河,住宅,建筑面积：73-137㎡,6267
四方·国悦府,卧龙区,住宅,建筑面积：98.43-115.69㎡,9414
宛东红东方,社旗,住宅,建筑面积：94㎡,3550
美景湍河,邓州,住宅,建筑面积：121-130㎡,5583
万家园大厦,宛城区,商住,建筑面积：55519㎡,9200
滨河园丁苑,宛城区,临街店铺,建筑面积：90-93㎡,12000
文华南阳天地,宛城区,住宅,建筑面积：42.7-138.58㎡,11000
恒大翡翠华庭,宛城区,住宅,建筑面积：103.6-142.49㎡,11000
鑫磊森林湖,卧龙区,住宅,建筑面积：139.44-388.84㎡,12500
财富公馆二期,卧龙区,住宅,建筑面积：95.05-140.82㎡,9500
亿安·天下城,卧龙区,住宅,建筑面积：45.54-146.5㎡,12000
中信国安城,宛城区,住宅,建筑面积：103.98-152.5㎡,10500
金川西湖美景,邓州,住宅,建筑面积：94.11-127.17㎡,4500
三川玖龍台,宛城区,住宅,建筑面积：410-1030㎡,9500
滨港•普罗旺世,社旗,住宅,建筑面积：125.53-134.46㎡,4300
龙达新天地,宛城区,住宅,建筑面积：117.31-140.29㎡,7500
嘉合万世华庭,宛城区,住宅,建筑面积：36-92㎡,10000
兴龙城,宛城区,住宅,建筑面积：117.89-132.79㎡,9700
合园小区,邓州,住宅,建筑面积：91.12-160㎡,6000
万政·龙门苑,宛城区,住宅,建筑面积：42.43-88.85㎡,9926
传世温泉公馆,宛城区,住宅,建筑面积：57.05-302㎡,9000
田源新城,卧龙区,住宅,建筑面积：108.96-142.47㎡,6500
东正·颐和府,卧龙区,住宅,建筑面积：144.22-199㎡,14000
财富书香人家,邓州,临街店铺,建筑面积：110000㎡,4000
正商邓州新天地,邓州,临街店铺,建筑面积：73700㎡,9800
桂花城奥特莱斯购物公园,卧龙区,临街店铺,建筑面积：180000㎡,10000
南阳奥新产业园,宛城区,标准写字楼,建筑面积：78290㎡,3000
安和康居,唐河,住宅,建筑面积：100.41-120.21㎡,6267
金博达·世博公馆,宛城区,商住,建筑面积：34.53-85.57㎡,10000
同晟财富广场,宛城区,商住,建筑面积：65.66-142㎡,9168
兴达瓏府,宛城区,住宅,建筑面积：110-140㎡,8400
信友天樾,宛城区,住宅,建筑面积：98-128㎡,9399
凯瑞锦城,方城,住宅,建筑面积：124-146㎡,4600
邓州蓝城桃李春风,邓州,住宅,建筑面积：90-140㎡,15000
水悦龙湾,西峡,住宅,建筑面积：99.67-146.39㎡,3700
鑫汇·文景苑,新野,住宅,建筑面积：118.1-135.8㎡,4500
中熙·御龙湾,新野,住宅,建筑面积：119.06-129.39㎡,3900
邓州至尊府,邓州,住宅,建筑面积：105.15-145㎡,6200
玖隆府,镇平,住宅,建筑面积：128.73-141.58㎡,4200
万基·水木清华,淅川,住宅,建筑面积：120.72-137.24㎡,4100
淯水名邸,新野,住宅,建筑面积：120-168㎡,6000
滨湖春城,桐柏,住宅,建筑面积：138-154㎡,4400
恒伟 迎宾壹号,邓州,住宅,建筑面积：113.96-167.95㎡,3500
金和苑,社旗,住宅,建筑面积：117.36-146.38㎡,4200
财富新城·中央公园,西峡,住宅,建筑面积：127.78-140㎡,3999
南都明珠•滨湖新城,鸭河工区,住宅,建筑面积：95.04-141.24㎡,4700
东城尚品,新野,住宅,建筑面积：122.2-163.93㎡,4500
君临天下,邓州,住宅,建筑面积：110.87-139.18㎡,5500
一品新天地,新野,住宅,建筑面积：136.64㎡,4800
建控江山汇,唐河,住宅,建筑面积：115㎡,6200
安泰·荣盛公馆,内乡,住宅,建筑面积：117.45-153.27㎡,3896
鲁明正和府,社旗,住宅,建筑面积：120.65-171.13㎡,4257
金海广场,淅川,住宅,建筑面积：118-126㎡,4000
晟景湾,内乡,住宅,建筑面积：122.76-153.01㎡,3896
唐河建控·江山赋,唐河,住宅,建筑面积：135㎡,6000
宇信荣域学府,宛城区,住宅,建筑面积：89.62-196.72㎡,13000
广亿不夜城B区·东湖公馆,邓州,住宅,建筑面积：49-98㎡,5908
碧桂园花洲府,邓州,住宅,建筑面积：117-150㎡,5583
镇平泽耀久鸿农博城,镇平,商住,建筑面积：218359㎡,4567
金水港,内乡,住宅,建筑面积：113-141㎡,3896
新野上亿广场,新野,商住,建筑面积：82.38㎡,6700
浩创·伏牛山,西峡,住宅,建筑面积：39-110㎡,8000
嘉合嘉年华城,宛城区,住宅,建筑面积：60.42-68.87㎡,10180
华侨城纯水岸,宛城区,住宅,建筑面积：95-276㎡,9700
天和家园,镇平,住宅,建筑面积：127-136㎡,4400
新野建业森林半岛,新野,住宅,建筑面积：115-170㎡,4800
大民都市·壹号院,方城,住宅,建筑面积：124-146㎡,5100
常绿悦龙府,宛城区,住宅,建筑面积：101-126.34㎡,8479
阳光锦城,社旗,住宅,建筑面积：120.65-146.6㎡,4000
滨河家园,南召,住宅,建筑面积：107.5-138㎡,3450
邓州碧桂园·云璟,邓州,住宅,建筑面积：118.49-224.77㎡,8000
一品国际花园,新野,住宅,建筑面积：107.05-136.84㎡,4350
菊城豪庭,内乡,住宅,建筑面积：90.32-132.7㎡,3800
世尊府,邓州,住宅,建筑面积：108.55-126.08㎡,4900
东正·MOCO新世界,邓州,住宅,建筑面积：103.56-127.28㎡,5400
隆飞祥和园,卧龙区,住宅,建筑面积：91.02-126.91㎡,8500
锦绣前城,唐河,住宅,建筑面积：124.78-135.48㎡,5500
鸿扬万象城,社旗,商住,建筑面积：116-148㎡,4441
龙都·臻品,宛城区,住宅,建筑面积：82.14-137.94㎡,7000
尚城,方城,住宅,建筑面积：115-139.9㎡,4100
一品龙湾,新野,住宅,建筑面积：126-141.29㎡,4600
大正佳苑,镇平,住宅,建筑面积：84.51-134㎡,4686
阳光湾畔,唐河,住宅,建筑面积：116.21-138.92㎡,6267
聚丰金城园,镇平,住宅,建筑面积：114.87-142.61㎡,4452
鑫垚华庭,淅川,住宅,建筑面积：84-145㎡,3588
华府领秀城,西峡,住宅,建筑面积：65㎡,3300
宇信荣域花园,宛城区,住宅,建筑面积：124.95-143.95㎡,10500
山川·花园里,卧龙区,住宅,建筑面积：110-145㎡,11000
一品锦绣山河,新野,住宅,建筑面积：113.89-152.72㎡,3400
南阳建业·公园里,宛城区,住宅,建筑面积：115-176㎡,12000
一品国际都会,新野,住宅,建筑面积：107.05-136.84㎡,4650
龙泉新城,方城,住宅,建筑面积：529000㎡,4800
华隆财富城,卧龙区,住宅,建筑面积：172357㎡,8700
新城春华苑,宛城区,临街店铺,建筑面积：104415㎡,8130
宇信凯旋公馆,宛城区,住宅,建筑面积：96.08-419.81㎡,8500
大正翡翠城,镇平,住宅,建筑面积：119.65-133.07㎡,4500
宏江中央广场,高新区,住宅,建筑面积：183078㎡,6000
恒大商务楼,高新区,商住,建筑面积：95-135.59㎡,7000
建业森林半岛,高新区,住宅,建筑面积：87-303.87㎡,6100
建业凯旋广场,宛城区,商住,建筑面积：48.92-98.69㎡,9900
摩根中央公园,卧龙区,住宅,建筑面积：127.15-211.95㎡,7000
鑫融七里香溪,宛城区,住宅,建筑面积：89.79-122.09㎡,7000
常绿大溪地,高新区,商住,建筑面积：166.96㎡,9500
光彩国际璟园,卧龙区,住宅,建筑面积：115-122㎡,4200
卓越漫香湖,高新区,住宅,建筑面积：94.76-127.63㎡,6000
天工兰乔圣菲,卧龙区,住宅,建筑面积：116-138.37㎡,5400
东青·颐和原著,邓州,住宅,建筑面积：109-135㎡,5900
璟都国际,宛城区,住宅,建筑面积：121-142㎡,6000
光武帝城,宛城区,住宅,建筑面积：118.58-135.07㎡,4800
南阳藏珑,卧龙区,住宅,建筑面积：90.46-146㎡,4500
鑫泓三鑫园,宛城区,住宅,建筑面积：79.89-105㎡,4200
春泉中心城,镇平,住宅,建筑面积：81.15㎡,4000
宇信凯旋城,宛城区,住宅,建筑面积：284000㎡,5400
盛世御苑,高新区,住宅,建筑面积：117㎡,5300
舒心园西城逸景,卧龙区,住宅,建筑面积：121.19㎡,4450
黄河时代城,卧龙区,商住,建筑面积：800000㎡,30000
东盛花园,卧龙区,商住,建筑面积：40000㎡,4600
镇平恒信麒麟首府,镇平,住宅,建筑面积：39000㎡,4000
枫桥水岸,卧龙区,住宅,建筑面积：80000㎡,4100
首创珍珠湾,方城,住宅,建筑面积：50000㎡,5400
银基王朝,邓州,住宅,建筑面积：95-134㎡,4500
中德岳阳印象,邓州,住宅,建筑面积：89.31-122.28㎡,4498
一品壹号院,新野,别墅,建筑面积：158.76-304.4㎡,5800
常绿运河壹号院,卧龙区,住宅,建筑面积：99.32-133.51㎡,7600
方城中梁首府,方城,住宅,建筑面积：88-138㎡,5600
永泰四季花城,邓州,住宅,建筑面积：90.08-121.28㎡,4250
诚发都市新城,宛城区,商住,建筑面积：47.28-182㎡,9123
中梁首府,高新区,住宅,建筑面积：115-133㎡,8500
东正·皇马观邸,邓州,住宅,建筑面积：109.64-138.08㎡,5000
邓州建业公园里,邓州,住宅,建筑面积：135-165㎡,7100
国府第一城,方城,住宅,建筑面积：105.8-178.96㎡,5500
财富家天下·,邓州,住宅,建筑面积：90-128㎡,7000
金科·集美晴洲,宛城区,住宅,建筑面积：113-158㎡,11000
御豪庭,邓州,住宅,建筑面积：89.18-175.29㎡,6000
方城碧桂园建业御龙湾,方城,住宅,建筑面积：123-224㎡,6500
盛世北城,南召,住宅,建筑面积：129-139㎡,3550
中奥邓州府,邓州,住宅,建筑面积：99-129㎡,6000
圣瀚状元府,新野,住宅,建筑面积：117.68-147.63㎡,4300
盛世华城,南召,住宅,建筑面积：117-213㎡,4000
金裕名门,方城,住宅,建筑面积：118.12-146.12㎡,5300
希尔顿·国际公馆,新野,住宅,建筑面积：94.45-149.02㎡,3800
美景逸居,邓州,住宅,建筑面积：105.08-139.32㎡,4800
正商书香铭筑,镇平,住宅,建筑面积：114.05-141.47㎡,4800
星港美邻河畔,镇平,住宅,建筑面积：117.79-142.56㎡,4452
朝阳桂园,新野,住宅,建筑面积：131-138㎡,3500
鸿扬绿色嘉园,社旗,住宅,建筑面积：116.01-130.82㎡,4000
盛世澜庭,卧龙区,住宅,建筑面积：98.48-125.56㎡,8500
翰林公馆,邓州,住宅,建筑面积：108.58-132.52㎡,5994
百信广场,镇平,住宅,建筑面积：81.15-120㎡,4500
新野宇信凯旋城,新野,住宅,建筑面积：230000㎡,5200
中珠阳光康桥,唐河,住宅,建筑面积：140000㎡,6267
中兴学府花园,新野,住宅,建筑面积：87000㎡,2800
东方新城,方城,住宅,建筑面积：500000㎡,5600
广宇·同乐新城,卧龙区,临街店铺,建筑面积：347794㎡,8130
东鑫中央公园,宛城区,别墅,建筑面积：37-147.65㎡,55
金秋·怡源花园,宛城区,住宅,建筑面积：46.26-55.72㎡,8200
碧桂园南阳首府,卧龙区,住宅,建筑面积：108-282㎡,11700
中达白河首府,高新区,住宅,建筑面积：120.3-165㎡,6500
博泰·香颂湾,卧龙区,住宅,建筑面积：99.32-258.45㎡,9576
凯璟清华园,宛城区,商住,建筑面积：143.89㎡,11700
仲景·康城壹品,宛城区,住宅,建筑面积：109.79-165.04㎡,7000
